,classified.subtype,classified.price,classified.land.surface,classified.bedroom.count,classified.atticExists,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool
522,mixed use building,280443,0,2,0,0,0
523,mixed use building,238000,0,2,0,0,0
524,house,399000,0,4,0,1,0
526,mixed use building,253000,0,2,0,0,0
527,house,170000,431,2,1,1,0
528,house,220000,470,3,0,1,0
529,house,399000,2047,4,0,0,0
531,apartment block,469000,201,5,0,1,0
533,house,249000,470,3,0,0,0
534,house,299000,66,4,0,0,0
536,house,150000,357,2,1,0,0
537,house,65000,0,2,0,0,0
539,house,245000,0,4,1,0,0
541,apartment block,580000,460,6,1,1,0
542,house,972000,154,6,0,1,0
543,house,149000,245,4,1,1,0
544,house,348000,412,3,0,0,0
545,house,359000,511,3,0,0,0
546,house,331000,312,3,0,0,0
549,mixed use building,450000,40,1,0,1,0
550,house,169000,0,4,1,1,0
552,house,215000,1,3,0,0,0
553,house,235000,157,2,0,0,0
554,house,1299000,8700,4,0,0,0
555,house,695000,4806,3,0,0,0
557,house,255000,395,3,0,0,0
558,exceptional property,695000,2982,5,0,1,0
559,exceptional property,881000,4170,5,1,1,0
560,house,410000,674,4,0,1,0
561,house,299000,136,3,0,0,0
563,house,280000,1246,3,0,0,0
564,house,1390000,156,4,0,1,0
565,villa,1850000,7492,5,0,1,1
566,exceptional property,189000,0,1,0,1,1
567,house,210000,220,4,0,1,0
569,house,1950000,213,4,1,1,0
571,mixed use building,172400,110,2,0,0,0
572,house,179000,0,3,1,1,0
574,house,699000,185,6,1,1,0
575,house,124900,86,2,0,0,0
576,house,599000,935,20,0,1,0
578,house,309000,435,5,1,0,0
579,house,296000,280,5,1,0,0
580,house,289000,245,5,1,0,0
581,house,296000,270,5,1,0,0
582,house,145000,244,2,1,1,0
583,house,170000,0,6,0,0,0
584,house,1278000,4655,6,0,1,0
586,castle,4950000,148400,5,0,1,0
588,house,330000,136,3,0,0,0
590,villa,3900000,3000,6,0,0,0
591,castle,725000,2200,10,0,0,0
592,exceptional property,4950000,4895,7,0,1,1
593,apartment block,200000,97,4,0,1,0
595,house,200000,97,4,0,1,0
597,house,100000,692,4,1,0,0
598,farmhouse,1500000,6180,6,0,0,0
