,House_Type,Price,Serface,No. of Bed-Room,AtticExists,TerraceExists,SwimmingPoolExists
291,house,211000.0,288.0,3.0,0,1,0
292,house,125000.0,150.0,3.0,1,1,0
293,house,159000.0,0.0,4.0,0,0,0
296,castle,1115000.0,1743.0,4.0,0,1,0
297,house,400000.0,5683.0,4.0,0,0,0
298,house,270000.0,240.0,3.0,0,1,0
299,apartment block,1350000.0,76.0,4.0,0,1,0
300,house,1775000.0,305.0,8.0,0,1,0
301,villa,929000.0,830.0,4.0,0,0,1
302,villa,2200000.0,17000.0,10.0,0,0,1
303,apartment block,490000.0,0.0,4.0,0,1,0
305,castle,9500000.0,500000.0,12.0,0,1,1
306,villa,2490000.0,1800.0,5.0,1,1,1
307,house,365000.0,163.0,3.0,0,1,0
309,exceptional property,649000.0,14816.0,5.0,0,0,0
311,house,175000.0,202.0,4.0,1,1,0
312,castle,2890000.0,5300.0,12.0,0,1,1
314,apartment block,600000.0,340.0,11.0,0,1,0
316,house,715000.0,763.0,5.0,0,1,1
317,house,297300.0,783.0,3.0,0,0,0
318,farmhouse,590000.0,11131.0,4.0,1,1,0
320,house,295000.0,300.0,3.0,0,0,0
321,house,497400.0,610.0,3.0,0,0,0
323,exceptional property,325000.0,863.0,4.0,0,1,1
324,house,237500.0,0.0,3.0,0,1,0
325,house,2850000.0,3160.0,5.0,0,1,1
326,house,141385.0,0.0,2.0,0,0,0
328,villa,1790000.0,1123.0,7.0,1,1,1
329,mixed use building,245000.0,55.0,1.0,0,1,0
330,house,1350000.0,210.0,6.0,0,1,0
332,house,2430000.0,446.0,7.0,0,1,0
333,house,795000.0,276.0,3.0,0,1,0
334,apartment block,260000.0,43.0,4.0,0,0,0
335,villa,3495000.0,420.0,5.0,0,1,0
336,house,170000.0,24.0,2.0,0,0,0
337,house,209000.0,209.0,5.0,1,1,0
338,house,275000.0,328.0,3.0,1,1,0
339,house,245000.0,140.0,3.0,0,0,0
340,house,294500.0,350.0,4.0,0,0,0
341,house,299000.0,1300.0,5.0,0,0,0
342,house,185000.0,400.0,2.0,0,0,0
344,house,230000.0,315.0,4.0,0,1,0
345,apartment block,110000.0,0.0,1.0,0,0,0
347,mansion,925000.0,795.0,6.0,0,1,0
348,house,259900.0,175.0,3.0,0,1,0
349,house,267900.0,216.0,3.0,0,1,0
350,house,293900.0,302.0,3.0,0,1,0
351,house,349900.0,120.0,2.0,0,0,0
352,apartment block,799000.0,0.0,5.0,0,1,0
353,house,450000.0,8710.0,2.0,0,0,0
354,mixed use building,271500.0,0.0,2.0,0,0,0
355,mixed use building,235000.0,0.0,1.0,0,0,0
356,mixed use building,305000.0,0.0,2.0,0,0,0
357,mixed use building,313500.0,0.0,2.0,0,0,0
358,country cottage,1375000.0,997.0,5.0,0,1,0
359,mixed use building,324000.0,0.0,2.0,0,0,0
360,exceptional property,1550000.0,2400.0,6.0,1,0,0
362,house,795000.0,276.0,3.0,0,0,0
363,bungalow,280000.0,351.0,3.0,0,1,0
365,house,925000.0,795.0,6.0,0,1,0
366,apartment block,315000.0,140.0,6.0,0,0,0
368,house,150000.0,61.0,3.0,0,1,0
369,house,259900.0,389.0,3.0,1,1,0
370,house,264900.0,414.0,3.0,1,1,0
371,house,269900.0,560.0,3.0,1,1,0
372,villa,438000.0,1000.0,4.0,0,1,0
373,exceptional property,2600000.0,4970.0,6.0,0,1,1
374,apartment block,1350000.0,306.0,0.0,0,0,0
376,villa,1250000.0,10534.0,6.0,0,0,0
377,exceptional property,1980000.0,2107.0,5.0,0,1,0
378,villa,375000.0,1350.0,4.0,0,1,0
379,mixed use building,218000.0,135.0,2.0,0,0,0
380,house,1500000.0,1459.0,1.0,0,0,0
382,house,395000.0,371.0,4.0,0,1,0
383,house,425000.0,1592.0,4.0,0,1,0
385,house,329000.0,0.0,5.0,0,0,0
387,house,319000.0,120.0,3.0,0,0,0
389,mixed use building,625000.0,3860.0,4.0,1,1,0
392,house,110000.0,400.0,3.0,0,0,0
393,house,135000.0,740.0,3.0,0,0,0
395,house,4950000.0,0.0,5.0,0,0,1
399,house,110000.0,638.0,5.0,0,0,0
401,house,239000.0,560.0,5.0,0,1,0
405,exceptional property,2800000.0,1450.0,14.0,0,0,1
406,villa,220000.0,425.0,3.0,0,1,0
407,house,119000.0,0.0,0.0,0,0,0
408,house,265000.0,517.0,3.0,0,0,0
409,house,361260.0,406.0,3.0,0,0,0
410,house,360976.0,405.0,3.0,0,0,0
411,house,362989.0,405.0,3.0,0,0,0
412,house,364173.0,405.0,3.0,0,0,0
413,house,361599.0,405.0,3.0,0,0,0
414,house,361499.0,405.0,3.0,0,0,0
415,apartment block,1090000.0,218.0,4.0,0,0,0
416,house,315000.0,502.0,3.0,0,0,0
418,house,315000.0,500.0,3.0,0,0,0
420,villa,520000.0,1424.0,4.0,1,1,0
421,house,328210.0,303.0,3.0,0,1,0
422,house,331785.0,302.0,3.0,0,1,0
423,house,332410.0,218.0,3.0,0,1,0
425,villa,995000.0,11366.0,5.0,0,0,0
426,farmhouse,1495000.0,90000.0,3.0,0,1,0
427,house,180000.0,128.0,4.0,0,0,0
428,house,150000.0,480.0,3.0,0,0,0
429,mixed use building,1500000.0,71907.0,50.0,0,1,0
430,house,300000.0,157.0,3.0,1,0,0
431,apartment block,315000.0,0.0,3.0,0,1,0
433,house,99000.0,167.0,2.0,0,0,0
434,castle,1275000.0,15000.0,11.0,1,1,1
435,exceptional property,2985000.0,1270.0,6.0,1,1,0
436,house,310000.0,1000.0,5.0,0,1,0
438,house,595000.0,0.0,3.0,0,1,0
440,exceptional property,1400000.0,517.0,3.0,0,0,0
441,apartment block,1090000.0,218.0,4.0,0,0,0
442,exceptional property,1975000.0,550.0,5.0,1,1,0
443,apartment block,1375000.0,0.0,0.0,0,1,0
445,house,386466.0,555.0,3.0,0,0,0
446,house,379386.0,578.0,3.0,0,0,0
447,house,650000.0,0.0,8.0,0,1,0
448,exceptional property,690000.0,405.0,3.0,0,1,0
449,house,149000.0,64.0,2.0,0,0,0
450,chalet,145000.0,120.0,2.0,0,1,0
451,house,775000.0,89.0,2.0,0,0,0
452,mixed use building,2520000.0,193.0,0.0,0,1,0
453,house,130000.0,110.0,2.0,0,1,0
454,apartment block,375000.0,2360.0,6.0,1,1,0
455,house,215000.0,357.0,3.0,1,1,0
456,house,1295000.0,317.0,4.0,0,1,0
457,house,1295000.0,317.0,4.0,0,1,0
458,house,462800.0,221.0,2.0,0,0,0
459,house,289800.0,90.0,1.0,0,0,0
460,house,415000.0,582.0,3.0,0,1,0
461,house,489000.0,492.0,3.0,0,1,0
463,exceptional property,640000.0,1086.0,5.0,1,0,0
464,house,275000.0,283.0,3.0,1,1,0
466,apartment block,279000.0,0.0,7.0,0,1,0
467,house,460000.0,1120.0,4.0,0,0,0
469,bungalow,289000.0,763.0,2.0,0,0,0
470,apartment block,299000.0,0.0,3.0,0,0,0
472,apartment block,649000.0,805.0,7.0,0,0,0
473,house,276600.0,155.0,3.0,0,1,0
474,mixed use building,750000.0,0.0,12.0,0,1,0
475,farmhouse,3200000.0,44500.0,8.0,0,1,1
477,house,285000.0,1210.0,6.0,0,0,0
478,apartment block,285000.0,1210.0,6.0,0,0,0
480,house,475000.0,189.0,3.0,0,1,0
481,house,255000.0,140.0,3.0,0,1,0
482,castle,9500000.0,500000.0,7.0,1,0,1
486,house,360000.0,0.0,4.0,0,1,0
487,mansion,950000.0,2041.0,5.0,0,1,0
488,house,50000.0,620.0,3.0,0,1,0
490,house,179000.0,0.0,4.0,1,1,0
491,house,65000.0,184.0,2.0,1,0,0
492,house,215000.0,830.0,3.0,1,1,0
